"@SiteCode","@SpeciesCode","Data","@MeasurementDateGMT","@Value"
"","","","2024-07-22 09:00:00","31.4"
"","","","2024-07-22 10:00:00","37.8"
"","","","2024-07-22 11:00:00","25.9"
"","","","2024-07-22 12:00:00","34"
"","","","2024-07-22 13:00:00","37"
"","","","2024-07-22 14:00:00","35.9"
"","","","2024-07-22 15:00:00","45.1"
"","","","2024-07-22 16:00:00","29.5"
"","","","2024-07-22 17:00:00","21"
"","","","2024-07-22 18:00:00","22.9"
"","","","2024-07-22 19:00:00","24.3"
"","","","2024-07-22 20:00:00","16.9"
"","","","2024-07-22 21:00:00","21.5"
"","","","2024-07-22 22:00:00","20"
"","","","2024-07-22 23:00:00","15.1"
"","","","2024-07-23 00:00:00",""
"","","","2024-07-23 01:00:00",""
"","","","2024-07-23 02:00:00","6.4"
"","","","2024-07-23 03:00:00","11.4"
"","","","2024-07-23 04:00:00","16"
"","","","2024-07-23 05:00:00","20.3"
"","","","2024-07-23 06:00:00","43.1"
"","","","2024-07-23 07:00:00","32.7"
"","","","2024-07-23 08:00:00","34.3"
"","","","2024-07-23 09:00:00","28.6"
"","","","2024-07-23 10:00:00","20.4"
"","","","2024-07-23 11:00:00","15.7"
"","","","2024-07-23 12:00:00","8.6"
"","","","2024-07-23 13:00:00","9.5"
"","","","2024-07-23 14:00:00","12.1"
"","","","2024-07-23 15:00:00","14.9"
"","","","2024-07-23 16:00:00","18.1"
"","","","2024-07-23 17:00:00","13.8"
"","","","2024-07-23 18:00:00","16.1"
"","","","2024-07-23 19:00:00","16.2"
"","","","2024-07-23 20:00:00","12.8"
"","","","2024-07-23 21:00:00","21"
"","","","2024-07-23 22:00:00","25"
"","","","2024-07-23 23:00:00","36.2"
"","","","2024-07-24 00:00:00",""
"","","","2024-07-24 01:00:00",""
"","","","2024-07-24 02:00:00",""
"","","","2024-07-24 03:00:00",""
"","","","2024-07-24 04:00:00",""
"","","","2024-07-24 05:00:00",""
"","","","2024-07-24 06:00:00",""
"","","","2024-07-24 07:00:00",""
"","","","2024-07-24 08:00:00",""
"","","","2024-07-24 09:00:00","53.5"
"","","","2024-07-24 10:00:00","57.2"
"","","","2024-07-24 11:00:00","52.3"
"","","","2024-07-24 12:00:00","51"
"","","","2024-07-24 13:00:00","38.4"
"","","","2024-07-24 14:00:00","45.7"
"","","","2024-07-24 15:00:00","37.1"
"","","","2024-07-24 16:00:00","41.1"
"","","","2024-07-24 17:00:00","30.8"
"","","","2024-07-24 18:00:00","37.1"
"","","","2024-07-24 19:00:00","29.6"
"","","","2024-07-24 20:00:00","24.6"
"","","","2024-07-24 21:00:00","21"
"","","","2024-07-24 22:00:00","24.2"
"","","","2024-07-24 23:00:00","19.3"
"","","","2024-07-25 00:00:00",""
"","","","2024-07-25 01:00:00",""
"","","","2024-07-25 02:00:00","7.9"
"","","","2024-07-25 03:00:00","11.6"
"","","","2024-07-25 04:00:00","12.8"
"","","","2024-07-25 05:00:00","19.2"
"","","","2024-07-25 06:00:00","30.9"
"","","","2024-07-25 07:00:00","35.2"
"","","","2024-07-25 08:00:00","45.5"
"","","","2024-07-25 09:00:00","36"
"","","","2024-07-25 10:00:00","42.8"
"","","","2024-07-25 11:00:00","43.2"
"","","","2024-07-25 12:00:00","38.7"
"","","","2024-07-25 13:00:00","37.6"
"","","","2024-07-25 14:00:00","33.5"
"","","","2024-07-25 15:00:00","38.5"
"","","","2024-07-25 16:00:00","33.2"
"","","","2024-07-25 17:00:00","30.8"
"","","","2024-07-25 18:00:00","43"
"","","","2024-07-25 19:00:00","27.1"
"","","","2024-07-25 20:00:00","28.5"
"","","","2024-07-25 21:00:00","25.4"
"","","","2024-07-25 22:00:00","29.6"
"","","","2024-07-25 23:00:00","23.9"
"","","","2024-07-26 00:00:00",""
"","","","2024-07-26 01:00:00",""
"","","","2024-07-26 02:00:00","22"
"","","","2024-07-26 03:00:00","16.2"
"","","","2024-07-26 04:00:00","22.5"
"","","","2024-07-26 05:00:00","21.5"
"","","","2024-07-26 06:00:00","59.3"
"","","","2024-07-26 07:00:00","31.9"
"","","","2024-07-26 08:00:00",""
"","","","2024-07-26 09:00:00",""
"","","","2024-07-26 10:00:00","43.2"
"","","","2024-07-26 11:00:00","50.6"
"","","","2024-07-26 12:00:00","37.9"
"","","","2024-07-26 13:00:00","52.2"
"","","","2024-07-26 14:00:00","53"
"","","","2024-07-26 15:00:00","41.9"
"","","","2024-07-26 16:00:00","49.6"
"","","","2024-07-26 17:00:00","40.8"
"","","","2024-07-26 18:00:00","28"
"","","","2024-07-26 19:00:00","33.6"
"","","","2024-07-26 20:00:00","29.4"
"","","","2024-07-26 21:00:00","29.7"
"","","","2024-07-26 22:00:00","33.3"
"","","","2024-07-26 23:00:00","35.8"
