source,path,name,suffix,size_bytes,evidence_type,public_safe
repo,site_public/data/charts/source_class_summary_latest.json,source_class_summary_latest.json,.json,240,evidence,yes
repo,site_public/data/charts/pollutant_timeseries.json,pollutant_timeseries.json,.json,296,evidence,yes
repo,site_public/data/charts/satellite_products_by_week.json,satellite_products_by_week.json,.json,4620,evidence,yes
repo,site_public/data/charts/facility_control_comparison.json,facility_control_comparison.json,.json,289,evidence,yes
repo,site_public/data/providers/earthdata/source_records.json,source_records.json,.json,1211,evidence,yes
repo,site_public/data/providers/earthdata/summary.json,summary.json,.json,506,evidence,yes
repo,site_public/data/providers/earthdata/auth_smoke_source_records.json,auth_smoke_source_records.json,.json,1020,evidence,yes
repo,site_public/data/providers/earthdata/granule_candidates.json,granule_candidates.json,.json,37033,evidence,yes
repo,site_public/data/providers/earthdata/collection_candidates.json,collection_candidates.json,.json,28146,evidence,yes
repo,site_public/data/providers/earthdata/auth_smoke_summary.json,auth_smoke_summary.json,.json,2075,evidence,yes
repo,site_public/data/providers/laqn/source_records.json,source_records.json,.json,8861,evidence,yes
repo,site_public/data/providers/laqn/summary.json,summary.json,.json,1042,evidence,yes
repo,site_public/data/providers/laqn/index_health_advice.failed.json,index_health_advice.failed.json,.json,939,evidence,yes
repo,site_public/data/providers/laqn/groups.json,groups.json,.json,8700,evidence,yes
repo,site_public/data/providers/laqn/annual_objectives_london.json,annual_objectives_london.json,.json,2472452,evidence,yes
repo,site_public/data/providers/laqn/species.json,species.json,.json,3606,evidence,yes
repo,site_public/data/providers/laqn/sites_london.json,sites_london.json,.json,180971,evidence,yes
repo,site_public/data/providers/laqn/site_species_london.json,site_species_london.json,.json,318694,evidence,yes
repo,site_public/data/providers/laqn/chart_safe/groups.json,groups.json,.json,10994,evidence,yes
repo,site_public/data/providers/laqn/chart_safe/annual_objectives_london.json,annual_objectives_london.json,.json,2971325,evidence,yes
repo,site_public/data/providers/laqn/chart_safe/data_probe_BL0_NO2_2024-07-22_2024-07-25.json,data_probe_BL0_NO2_2024-07-22_2024-07-25.json,.json,5438,evidence,yes
repo,site_public/data/providers/laqn/chart_safe/species.json,species.json,.json,3518,evidence,yes
repo,site_public/data/providers/laqn/chart_safe/sites_london.json,sites_london.json,.json,198313,evidence,yes
repo,site_public/data/providers/laqn/chart_safe/site_species_london_flat.json,site_species_london_flat.json,.json,337509,evidence,yes
repo,site_public/data/providers/laqn/chart_safe/data_probe_MY1_NO2_2024-07-22_2024-07-27.json,data_probe_MY1_NO2_2024-07-22_2024-07-27.json,.json,9356,evidence,yes
repo,site_public/data/providers/laqn/chart_safe/index.json,index.json,.json,2426,evidence,yes
repo,site_public/data/providers/laqn/chart_safe/site_species_london.json,site_species_london.json,.json,401288,evidence,yes
repo,site_public/data/providers/laqn/chart_safe/data_probe_BL0_NO2_2024-07-22_2024-07-24.json,data_probe_BL0_NO2_2024-07-22_2024-07-24.json,.json,3662,evidence,yes
repo,site_public/data/providers/laqn/evidence_lake/latest_index.json,latest_index.json,.json,449,evidence,yes
repo,site_public/data/providers/ukair_sos/source_records.json,source_records.json,.json,1709,evidence,yes
repo,site_public/data/providers/ukair_sos/probe_attempts.json,probe_attempts.json,.json,328,evidence,yes
repo,site_public/data/providers/ukair_sos/capabilities.json,capabilities.json,.json,979533,evidence,yes
repo,site_public/data/providers/ukair_sos/pollutant_inventory.json,pollutant_inventory.json,.json,29091,evidence,yes
repo,site_public/data/providers/ukair_sos/provider_summary.json,provider_summary.json,.json,5206,evidence,yes
repo,site_public/data/providers/ukair_sos/station_inventory.json,station_inventory.json,.json,435361,evidence,yes
repo,site_public/data/providers/ukair_sos/observation_probe_urls.json,observation_probe_urls.json,.json,2,evidence,yes
repo,site_public/data/providers/ukair_sos/offering_inventory.json,offering_inventory.json,.json,510262,evidence,yes
repo,site_public/data/focus/final_canonical_public_fix.json,final_canonical_public_fix.json,.json,417,evidence,yes
repo,site_public/data/focus/webm_banner_status.json,webm_banner_status.json,.json,907,evidence,yes
repo,site_public/data/focus/overlays/remaining_overlay_queue.csv,remaining_overlay_queue.csv,.csv,6004,evidence,yes
repo,site_public/data/focus/overlays/remaining_overlay_queue.json,remaining_overlay_queue.json,.json,14630,evidence,yes
repo,site_public/data/focus/overlays/candidate_monitoring_overlays.csv,candidate_monitoring_overlays.csv,.csv,2,measurement,yes
repo,site_public/data/focus/overlays/selected_candidate_overlays_needing_review.csv,selected_candidate_overlays_needing_review.csv,.csv,2,evidence,yes
repo,site_public/data/focus/overlays/incinerator_overlay_summary.json,incinerator_overlay_summary.json,.json,434,evidence,yes
repo,site_public/data/focus/overlays/overlay_discovery_errors.json,overlay_discovery_errors.json,.json,11716,evidence,yes
repo,site_public/data/focus/overlays/candidate_monitoring_overlays.json,candidate_monitoring_overlays.json,.json,2,measurement,yes
repo,site_public/data/focus/overlays/validated_defra_overlays.csv,validated_defra_overlays.csv,.csv,2131,evidence,yes
repo,site_public/data/focus/overlays/validated_defra_overlays.json,validated_defra_overlays.json,.json,5623,evidence,yes
repo,site_public/data/focus/overlays/selected_candidate_overlays_needing_review.json,selected_candidate_overlays_needing_review.json,.json,2,evidence,yes
repo,site_public/data/focus/overlays_v3/openaq_query_diagnostics.csv,openaq_query_diagnostics.csv,.csv,3248,diagnostic,yes
repo,site_public/data/focus/overlays_v3/queried_facilities_this_run.csv,queried_facilities_this_run.csv,.csv,630,evidence,yes
repo,site_public/data/focus/overlays_v3/remaining_overlay_queue_after_skip.csv,remaining_overlay_queue_after_skip.csv,.csv,630,evidence,yes
repo,site_public/data/focus/overlays_v3/facility_overlay_status_cumulative.csv,facility_overlay_status_cumulative.csv,.csv,6828,evidence,yes
