facility,facility_key,location,facility_lat,facility_lon,control_site,control_lat,control_lon,query_point_role,query_point_lat,query_point_lon,candidate_source,candidate_status,candidate_review_class,monitoring_site_name,openaq_location_id,monitoring_site_lat,monitoring_site_lon,distance_query_to_monitor_km,pollutants,monitoring_provider_text,provider_class,distance_score,pollutant_score,official_hint_score,source_score,relevance_score,suggested_action,review_note
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,West Gate Bridge,6228171,52.450876,-1.937146,24.738,pm1;pm25;relativehumidity;temperature;um003,AirGradient | University of Birmingham | United Kingdom | Europe/London,community_or_uncertain_candidate,14,9,0,0,23,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Engineering/ Sports Pitches,6177435,52.448468,-1.933439,24.861,pm1;pm25;relativehumidity;temperature;um003,AirGradient | University of Birmingham | United Kingdom | Europe/London,community_or_uncertain_candidate,14,9,0,0,23,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,University of Birmingham 4,2453310,52.4554,-1.92899556076,25.448,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Unknown Person | United Kingdom | Europe/London,community_or_uncertain_candidate,4,17,0,0,21,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,University of Birmingham 3,2453314,52.45545,-1.92899556076,25.45,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Unknown Person | United Kingdom | Europe/London,community_or_uncertain_candidate,4,17,0,0,21,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,University of Birmingham 2,2453317,52.4555,-1.92899556076,25.452,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Unknown Person | United Kingdom | Europe/London,community_or_uncertain_candidate,4,17,0,0,21,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,University of Birmingham 1,2453320,52.4554879239,-1.92899556076,25.452,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Unknown Person | United Kingdom | Europe/London,community_or_uncertain_candidate,4,17,0,0,21,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Molecular Science Building,5246084,52.45172,-1.93311,25.026,pm1;pm25;relativehumidity;temperature;um003,AirGradient | University of Birmingham | United Kingdom | Europe/London,community_or_uncertain_candidate,4,9,0,0,13,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Bournbrook Sports Pitches/ Bristol Rd,6170472,52.447145,-1.928693,25.1,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,community_or_uncertain_candidate,4,9,0,0,13,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,South Gate/ Bristol Rd,6227287,52.447145,-1.928693,25.1,pm1;pm25;relativehumidity;temperature;um003,AirGradient | University of Birmingham | United Kingdom | Europe/London,community_or_uncertain_candidate,4,9,0,0,13,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Hartlebury EfW,hartlebury,Worcestershire,52.36,-2.27,Ombersley,52.30630369696547,-2.323040252,facility,52.36,-2.27,OpenAQ v3 locations,candidate_needs_review,supporting_context_community_sensor,Main Library,6178673,52.451258,-1.930915,25.141,pm1;pm25;relativehumidity;temperature;um003,AirGradient | University of Birmingham | United Kingdom | Europe/London,community_or_uncertain_candidate,4,9,0,0,13,use_as_supporting_context_only,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
