facility,facility_key,query_point_role,method,url,http_status,result_count,attempt,error_type,error_message
Crossness Sludge Plant,crossness,control,bbox_25km_lonlat,https://api.openaq.org/v3/locations?bbox=-0.24865%2C51.22316%2C0.47204%2C51.67232&limit=100&iso=GB,200,100,1,,
CSWDC Coventry,coventry,facility,coordinates_lat_lon_radius_capped,https://api.openaq.org/v3/locations?coordinates=52.41000%2C-1.50000&radius=25000&limit=100&iso=GB,200,6,1,,
CSWDC Coventry,coventry,facility,coordinates_lat_lon_radius_10000,https://api.openaq.org/v3/locations?coordinates=52.41000%2C-1.50000&radius=10000&limit=100&iso=GB,200,2,1,,
CSWDC Coventry,coventry,facility,bbox_25km_lonlat,https://api.openaq.org/v3/locations?bbox=-1.86816%2C52.18542%2C-1.13184%2C52.63458&limit=100&iso=GB,200,9,1,,
CSWDC Coventry,coventry,control,coordinates_lat_lon_radius_capped,https://api.openaq.org/v3/locations?coordinates=52.36455%2C-1.54975&radius=25000&limit=100&iso=GB,200,6,1,,
CSWDC Coventry,coventry,control,coordinates_lat_lon_radius_10000,https://api.openaq.org/v3/locations?coordinates=52.36455%2C-1.54975&radius=10000&limit=100&iso=GB,200,4,1,,
CSWDC Coventry,coventry,control,bbox_25km_lonlat,https://api.openaq.org/v3/locations?bbox=-1.91753%2C52.13997%2C-1.18198%2C52.58912&limit=100&iso=GB,200,11,1,,
Devonport Dockyard,devonport,facility,coordinates_lat_lon_radius_capped,https://api.openaq.org/v3/locations?coordinates=50.37000%2C-4.14000&radius=25000&limit=100&iso=GB,200,3,1,,
Devonport Dockyard,devonport,facility,coordinates_lat_lon_radius_10000,https://api.openaq.org/v3/locations?coordinates=50.37000%2C-4.14000&radius=10000&limit=100&iso=GB,200,3,1,,
Devonport Dockyard,devonport,facility,bbox_25km_lonlat,https://api.openaq.org/v3/locations?bbox=-4.49210%2C50.14542%2C-3.78790%2C50.59458&limit=100&iso=GB,200,3,1,,
Devonport Dockyard,devonport,control,coordinates_lat_lon_radius_capped,https://api.openaq.org/v3/locations?coordinates=50.31517%2C-4.19428&radius=25000&limit=100&iso=GB,200,3,1,,
Devonport Dockyard,devonport,control,coordinates_lat_lon_radius_10000,https://api.openaq.org/v3/locations?coordinates=50.31517%2C-4.19428&radius=10000&limit=100&iso=GB,200,1,1,,
Devonport Dockyard,devonport,control,bbox_25km_lonlat,https://api.openaq.org/v3/locations?bbox=-4.54597%2C50.09060%2C-3.84259%2C50.53975&limit=100&iso=GB,200,3,1,,
Dudley EfW,dudley,facility,coordinates_lat_lon_radius_capped,https://api.openaq.org/v3/locations?coordinates=52.51000%2C-2.09000&radius=25000&limit=100&iso=GB,200,32,1,,
Dudley EfW,dudley,facility,coordinates_lat_lon_radius_10000,https://api.openaq.org/v3/locations?coordinates=52.51000%2C-2.09000&radius=10000&limit=100&iso=GB,200,3,1,,
Dudley EfW,dudley,facility,bbox_25km_lonlat,https://api.openaq.org/v3/locations?bbox=-2.45899%2C52.28542%2C-1.72101%2C52.73458&limit=100&iso=GB,200,33,1,,
Dudley EfW,dudley,control,coordinates_lat_lon_radius_capped,https://api.openaq.org/v3/locations?coordinates=52.45918%2C-2.13188&radius=25000&limit=100&iso=GB,200,31,1,,
Dudley EfW,dudley,control,coordinates_lat_lon_radius_10000,https://api.openaq.org/v3/locations?coordinates=52.45918%2C-2.13188&radius=10000&limit=100&iso=GB,200,2,1,,
Dudley EfW,dudley,control,bbox_25km_lonlat,https://api.openaq.org/v3/locations?bbox=-2.50045%2C52.23460%2C-1.76331%2C52.68376&limit=100&iso=GB,200,33,1,,
Eastcroft EfW,eastcroft,facility,coordinates_lat_lon_radius_capped,https://api.openaq.org/v3/locations?coordinates=52.97000%2C-1.15000&radius=25000&limit=100&iso=GB,200,6,1,,
Eastcroft EfW,eastcroft,facility,coordinates_lat_lon_radius_10000,https://api.openaq.org/v3/locations?coordinates=52.97000%2C-1.15000&radius=10000&limit=100&iso=GB,200,2,1,,
Eastcroft EfW,eastcroft,facility,bbox_25km_lonlat,https://api.openaq.org/v3/locations?bbox=-1.52291%2C52.74542%2C-0.77709%2C53.19458&limit=100&iso=GB,200,6,1,,
Eastcroft EfW,eastcroft,control,coordinates_lat_lon_radius_capped,https://api.openaq.org/v3/locations?coordinates=52.91239%2C-1.19418&radius=25000&limit=100&iso=GB,200,5,1,,
Eastcroft EfW,eastcroft,control,coordinates_lat_lon_radius_10000,https://api.openaq.org/v3/locations?coordinates=52.91239%2C-1.19418&radius=10000&limit=100&iso=GB,200,2,1,,
Eastcroft EfW,eastcroft,control,bbox_25km_lonlat,https://api.openaq.org/v3/locations?bbox=-1.56660%2C52.68781%2C-0.82177%2C53.13697&limit=100&iso=GB,200,6,1,,
Exeter ERF,exeter,facility,coordinates_lat_lon_radius_capped,https://api.openaq.org/v3/locations?coordinates=50.73000%2C-3.52000&radius=25000&limit=100&iso=GB,200,4,1,,
Exeter ERF,exeter,facility,coordinates_lat_lon_radius_10000,https://api.openaq.org/v3/locations?coordinates=50.73000%2C-3.52000&radius=10000&limit=100&iso=GB,200,2,1,,
Exeter ERF,exeter,facility,bbox_25km_lonlat,https://api.openaq.org/v3/locations?bbox=-3.87480%2C50.50542%2C-3.16520%2C50.95458&limit=100&iso=GB,200,4,1,,
Exeter ERF,exeter,control,coordinates_lat_lon_radius_capped,https://api.openaq.org/v3/locations?coordinates=50.67113%2C-3.57014&radius=25000&limit=100&iso=GB,200,4,1,,
Exeter ERF,exeter,control,coordinates_lat_lon_radius_10000,https://api.openaq.org/v3/locations?coordinates=50.67113%2C-3.57014&radius=10000&limit=100&iso=GB,200,2,1,,
Exeter ERF,exeter,control,bbox_25km_lonlat,https://api.openaq.org/v3/locations?bbox=-3.92449%2C50.44655%2C-3.21579%2C50.89571&limit=100&iso=GB,200,4,1,,
