facility_name,facility_key,operator,control_name,query_role,candidate_location_id,candidate_location_name,candidate_provider,candidate_latitude,candidate_longitude,distance_from_query_km,distance_from_facility_km,distance_from_control_km,pollutants,score,candidate_class,review_status,source_layer,query_method
Beddington ERF,beddington,,Ewell,facility,156,London Teddington,,51.42099,-0.339647,,,,,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Beddington ERF,beddington,,Ewell,facility,158,London Teddington Bushy Park - UKA00572,,51.425285999344624,-0.3456059996846904,,,,,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Bolton WtE,bolton,,Horwich,control,2431,Glazebury - UKA00170,,53.4600799995706,-2.4720559997084366,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Bolton WtE,bolton,,Horwich,facility,2444,Bury Whitefield Roadside - UKA00598,,53.559028999225056,-2.293771999677786,,,,,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Bolton WtE,bolton,,Horwich,control,718,Salford Eccles,,53.48481,-2.334139,,,,,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Bolton WtE,bolton,,Horwich,control,2293,Wigan Centre - UKA00482,,53.549139999250514,-2.638138999803485,,,,,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Bolton WtE,bolton,,Horwich,control,2444,Bury Whitefield Roadside - UKA00598,,53.559028999225056,-2.293771999677786,,,,,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Bolton WtE,bolton,,Horwich,facility,718,Salford Eccles,,53.48481,-2.334139,,,,,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Bolton WtE,bolton,,Horwich,facility,2293,Wigan Centre - UKA00482,,53.549139999250514,-2.638138999803485,,,,,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Bolton WtE,bolton,,Horwich,facility,2431,Glazebury - UKA00170,,53.4600799995706,-2.4720559997084366,,,,,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
CSWDC Coventry,cswdc_coventry,,Meriden,facility,2659918,Coventry Binley Road - UKA00634,,52.407707999735656,-1.4900820001776627,,,,,67,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
CSWDC Coventry,cswdc_coventry,,Meriden,facility,2494,Coventry Allesley - UKA00592,,52.411562999499345,-1.560228000167018,,,,,56,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
CSWDC Coventry,cswdc_coventry,,Meriden,control,2494,Coventry Allesley - UKA00592,,52.411562999499345,-1.560228000167018,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
CSWDC Coventry,cswdc_coventry,,Meriden,control,2534,Leamington Spa Rugby Road - UKA00564,,52.29488399961476,-1.5429110003652504,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
CSWDC Coventry,cswdc_coventry,,Meriden,control,2535,Leamington Spa,,52.28881,-1.533119,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
CSWDC Coventry,cswdc_coventry,,Meriden,control,2659918,Coventry Binley Road - UKA00634,,52.407707999735656,-1.4900820001776627,,,,,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
CSWDC Coventry,cswdc_coventry,,Meriden,facility,2534,Leamington Spa Rugby Road - UKA00564,,52.29488399961476,-1.5429110003652504,,,,,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
CSWDC Coventry,cswdc_coventry,,Meriden,facility,2535,Leamington Spa,,52.28881,-1.533119,,,,,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_capped
Crossness Sludge Plant,crossness_sludge,,Crayford,facility,225714,Bexley - Belvedere,,51.4906102082147,0.158914493927518,,,,,67,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1,coordinates_lat_lon_radius_10000
