facility,facility_key,location,facility_lat,facility_lon,control_site,control_lat,control_lon,query_point_role,query_point_lat,query_point_lon,candidate_source,candidate_status,candidate_review_class,monitoring_site_name,openaq_location_id,monitoring_site_lat,monitoring_site_lon,distance_query_to_monitor_km,pollutants,monitoring_provider_text,provider_class,distance_score,pollutant_score,official_hint_score,source_score,relevance_score,suggested_action,review_note
Isle of Wight Gasification,isleofwight,Isle of Wight,50.7,-1.28,Calbourne,50.64825093318034,-1.337914741,control,50.64825093318034,-1.337914741,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Portsmouth Anglesea Road - UKA00651,2659938,50.79833899930249,-1.0955580000494325,23.866,no2;pm10,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,14,18,15,5,52,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Isle of Wight Gasification,isleofwight,Isle of Wight,50.7,-1.28,Calbourne,50.64825093318034,-1.337914741,facility,50.7,-1.28,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Southampton A33 - UKA00613,2365,50.9202649996517,-1.4634840003224667,27.678,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Southampton | Europe/London,official_or_governmental_candidate,4,27,15,5,51,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Kirklees EfW,kirklees,Huddersfield,53.64,-1.8,Meltham,53.59280444,-1.840956726,facility,53.64,-1.8,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Barnsley Gawber - UKA00353,2323,53.56291999963069,-1.510436000037469,20.941,no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Barnsley | Europe/London,official_or_governmental_candidate,14,35,15,5,69,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Kirklees EfW,kirklees,Huddersfield,53.64,-1.8,Meltham,53.59280444,-1.840956726,control,53.59280444,-1.840956726,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Ladybower - UKA00171,2337,53.403369999657315,-1.7520060001189364,21.87,no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Ladybower | Europe/London,official_or_governmental_candidate,14,35,15,5,69,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Kirklees EfW,kirklees,Huddersfield,53.64,-1.8,Meltham,53.59280444,-1.840956726,control,53.59280444,-1.840956726,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Barnsley Gawber - UKA00353,2323,53.56291999963069,-1.510436000037469,22.072,no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Barnsley | Europe/London,official_or_governmental_candidate,14,35,15,5,69,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Kirklees EfW,kirklees,Huddersfield,53.64,-1.8,Meltham,53.59280444,-1.840956726,facility,53.64,-1.8,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Leeds Centre - UKA00222,2523,53.80377999962352,-1.54647200030493,24.696,co;no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Leeds | Europe/London,official_or_governmental_candidate,14,35,15,5,69,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Kirklees EfW,kirklees,Huddersfield,53.64,-1.8,Meltham,53.59280444,-1.840956726,facility,53.64,-1.8,OpenAQ v3 locations,candidate_needs_review,local_or_official_candidate_needs_review,Leeds Headingley Kerbside - UKA00527,1396,53.819971999290644,-1.5763609997630645,24.838,no2;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Leeds | Europe/London,official_or_governmental_candidate,14,27,15,5,61,review_as_local_or_official_overlay_candidate,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Kirklees EfW,kirklees,Huddersfield,53.64,-1.8,Meltham,53.59280444,-1.840956726,control,53.59280444,-1.840956726,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Leeds Centre - UKA00222,2523,53.80377999962352,-1.54647200030493,30.433,co;no2;o3;pm10;pm25;so2,EEA | Unknown Governmental Organization | United Kingdom | Leeds | Europe/London,official_or_governmental_candidate,4,35,15,5,59,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Kirklees EfW,kirklees,Huddersfield,53.64,-1.8,Meltham,53.59280444,-1.840956726,control,53.59280444,-1.840956726,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Sheffield Devonshire Green - UKA00575,2508,53.37862199941535,-1.4780960003272159,33.817,no2;o3;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Sheffield | Europe/London,official_or_governmental_candidate,4,33,15,5,57,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
Kirklees EfW,kirklees,Huddersfield,53.64,-1.8,Meltham,53.59280444,-1.840956726,facility,53.64,-1.8,OpenAQ v3 locations,candidate_needs_review,plausible_candidate_needs_review,Dewsbury Ashworth Grove - UKA00654,2659924,53.69310399964839,-1.6371110000712645,12.249,no2,EEA | Unknown Governmental Organization | United Kingdom | Europe/London,official_or_governmental_candidate,25,10,15,5,55,review_geography_and_source_before_use,"Candidate only; compare against DEFRA/AURN, local geography, control-site role and source provenance before validation."
