facility_name,control_name,query_role,query_method,coordinate_source,candidate_location_id,candidate_location_name,candidate_latitude,candidate_longitude,provider,pollutants,all_parameters,distance_to_facility_km,distance_to_query_km,score,candidate_class,review_status,source_layer
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225850,Wandsworth - Tooting High Street,51.429331,-0.166524,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³;pm25 µg/m³,7.713,7.713,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,3907049,Merton - Plough Lane Wimbledon,51.4304273690564,-0.185811823620255,205 London Air Quality Network 4 Unknown Governmental Organization,,pm10 µg/m³;pm25 µg/m³,7.908,7.908,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,4010224,Merton - Mitcham,51.4055473441872,-0.164596893540707,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm25 µg/m³,5.079,5.079,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_capped,lat_lon_columns,156,London Teddington,51.42099,-0.339647,169 DEFRA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³,13.585,14.373,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_capped,lat_lon_columns,225709,Croydon - Norbury,51.411349,-0.12311,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³,6.572,12.963,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_capped,lat_lon_columns,225734,Croydon - Purley Way A23,51.3622305655403,-0.117604507351392,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³,3.646,9.199,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225764,Kingston Upon Thames - Tolworth Broadway,51.379312,-0.281259,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³;pm25 µg/m³,8.016,8.307,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225785,Reigate and Banstead - A23 Hooley,51.2924706381269,-0.154121454400678,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³,7.590,5.431,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225792,Sutton - Beddington Village,51.3712010773161,-0.131948824988095,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,2.921,9.088,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225837,Sutton - Worcester Park,51.377923,-0.240414,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,5.279,7.246,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Beddington ERF,Ewell,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225845,Sutton - Wallington,51.3586596124998,-0.149723946604927,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,1.416,7.231,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Bolton WtE,Horwich,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,718,Salford Eccles,53.48481,-2.334139,169 DEFRA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,12.336,12.336,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Bolton WtE,Horwich,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,2293,Wigan Centre - UKA00482,53.549139999250514,-2.638138999803485,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,14.167,14.167,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Bolton WtE,Horwich,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,2431,Glazebury - UKA00170,53.4600799995706,-2.4720559997084366,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,13.621,13.621,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Bolton WtE,Horwich,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,2444,Bury Whitefield Roadside - UKA00598,53.559028999225056,-2.293771999677786,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,9.293,9.293,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Bolton WtE,Horwich,control,coordinates_lat_lon_radius_capped,lat_lon_columns,718,Salford Eccles,53.48481,-2.334139,169 DEFRA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,12.336,10.589,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Bolton WtE,Horwich,control,coordinates_lat_lon_radius_capped,lat_lon_columns,2293,Wigan Centre - UKA00482,53.549139999250514,-2.638138999803485,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,14.167,10.997,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Bolton WtE,Horwich,control,coordinates_lat_lon_radius_capped,lat_lon_columns,2431,Glazebury - UKA00170,53.4600799995706,-2.4720559997084366,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,13.621,7.819,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Bolton WtE,Horwich,control,coordinates_lat_lon_radius_capped,lat_lon_columns,2444,Bury Whitefield Roadside - UKA00598,53.559028999225056,-2.293771999677786,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,9.293,12.374,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,147,Greenwich - Eltham,51.45258,0.070766,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,8.035,8.035,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,157,Bexley - Slade Green,51.4659832746662,0.184877126994369,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³;so2 µg/m³,2.862,2.862,62,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,2395,Thurrock - UKA00272,51.47706999922149,0.31796900028704406,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³;so2 µg/m³,10.347,10.347,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225705,Bexley - Belvedere West,51.4946486813055,0.137279111232178,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,2.324,2.324,62,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225708,Barking and Dagenham - Rush Green,51.563752,0.177891,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;so2 µg/m³,8.219,8.219,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225714,Bexley - Belvedere,51.4906102082147,0.158914493927518,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³;pm25 µg/m³,0.771,0.771,67,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225727,Barking and Dagenham - Scrattons Farm,51.529389,0.132857,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,5.078,5.078,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225740,Dartford - St Clements 2,51.448823581151,0.279379130223739,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³,8.852,8.852,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225746,Dartford Roadside 2 - Town Centre,51.4426702340503,0.216185856662181,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,6.159,6.159,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225747,Greenwich - A206 Burrage Grove,51.490532,0.074003,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³;pm25 µg/m³,6.647,6.647,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225751,Greenwich - Plumstead High Street,51.486957,0.095111,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,5.196,5.196,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225763,Havering - Rainham,51.520787459334,0.20546070569404398,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³;pm25 µg/m³,4.212,4.212,56,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225769,Greenwich - Fiveways Sidcup Rd A20,51.4346627060562,0.0642224671704697,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³,9.569,9.569,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225789,Havering - Romford,51.572976,0.179079,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³,9.248,9.248,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225796,Greenwich - Falconwood,51.4563,0.085606,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,6.943,6.943,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225797,Greenwich - Westhorne Avenue,51.456357,0.040725,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,9.704,9.704,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,225836,Thurrock - London Road (Purfleet),51.478697,0.255133,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,6.027,6.027,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,426753,Newham - East Ham Town Hall,51.5330166040173,0.0550002064487128,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm25 µg/m³,9.285,9.285,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,facility,coordinates_lat_lon_radius_10000,lat_lon_columns,4990521,Dartford - Town Centre,51.442557781389,0.215950164318913,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,6.161,6.161,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_capped,lat_lon_columns,146,Southwark - A2 Old Kent Road,51.4804994936467,-0.0595528932573422,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³;pm25 µg/m³,15.930,12.410,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_capped,lat_lon_columns,147,Greenwich - Eltham,51.45258,0.070766,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,8.035,2.887,65,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_capped,lat_lon_columns,151,Tower Hamlets - Mile End Road,51.5225294860844,-0.0421550991900347,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm25 µg/m³,15.122,13.515,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_capped,lat_lon_columns,157,Bexley - Slade Green,51.4659832746662,0.184877126994369,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³;so2 µg/m³,2.862,5.461,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_capped,lat_lon_columns,2395,Thurrock - UKA00272,51.47706999922149,0.31796900028704406,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³;so2 µg/m³,10.347,14.658,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_capped,lat_lon_columns,223714,Haimo Road,51.455253,0.040655,137 london stationary 5 Unknown Research Organization,,no µg/m³;no2 ppm;nox µg/m³;pm25 µg/m³,9.756,4.993,37,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_capped,lat_lon_columns,223716,Woolwich Road,51.481228,0.126787,137 london stationary 5 Unknown Research Organization,,no µg/m³;no2 ppm;nox µg/m³;pm25 µg/m³,3.147,3.867,37,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,223804,Broadway Street,51.45788,0.135353,137 london stationary 5 Unknown Research Organization,,no µg/m³;no2 ppm;nox µg/m³;pm25 µg/m³,4.303,1.990,43,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225705,Bexley - Belvedere West,51.4946486813055,0.137279111232178,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,2.324,5.509,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225710,Greenwich - Blackheath,51.472504,-0.012381,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³,12.779,9.026,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225714,Bexley - Belvedere,51.4906102082147,0.158914493927518,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³;pm25 µg/m³,0.771,5.781,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
