facility_name,control_name,query_role,query_method,coordinate_source,candidate_location_id,candidate_location_name,candidate_latitude,candidate_longitude,provider,pollutants,all_parameters,distance_to_facility_km,distance_to_query_km,score,candidate_class,review_status,source_layer
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225797,Greenwich - Westhorne Avenue,51.456357,0.040725,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,9.704,5.010,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225800,Greenwich - Trafalgar Road (Hoskins St),51.4839072533485,0.000407396935849736,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm10 µg/m³,11.762,8.695,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,225804,Lewisham - Catford,51.445468,-0.020266,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³,14.079,9.149,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,227058,Newham - Britannia Gate,51.503858,0.020574415,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 ppb;no2 µg/m³;pm25 µg/m³,10.458,8.875,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,227059,Greenwich - Tunnel Avenue,51.495057,0.0041074676,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³,11.499,9.122,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,227060,Newham - Hoola Tower,51.508198,0.015002152,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³,10.918,9.489,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,270712,Lewisham - Laurence House Catford,51.4447808,-0.0221832,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³,14.230,9.284,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,4619882,Tower Hamlets - Millwall Park,51.4891342634,-0.0129769309432,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³,12.669,9.786,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Crossness Sludge Plant,Crayford,control,coordinates_lat_lon_radius_10000,lat_lon_columns,4990521,Dartford - Town Centre,51.442557781389,0.215950164318913,205 London Air Quality Network 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³,6.161,7.248,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
CSWDC Coventry,Meriden,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,2494,Coventry Allesley - UKA00592,52.411562999499345,-1.560228000167018,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,4.089,4.089,56,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
CSWDC Coventry,Meriden,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,2534,Leamington Spa Rugby Road - UKA00564,52.29488399961476,-1.5429110003652504,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³;pm25 µg/m³,13.128,13.128,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
CSWDC Coventry,Meriden,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,2535,Leamington Spa,52.28881,-1.533119,169 DEFRA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,13.662,13.662,39,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
CSWDC Coventry,Meriden,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,2659918,Coventry Binley Road - UKA00634,52.407707999735656,-1.4900820001776627,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³,0.719,0.719,67,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
CSWDC Coventry,Meriden,control,coordinates_lat_lon_radius_capped,lat_lon_columns,2494,Coventry Allesley - UKA00592,52.411562999499345,-1.560228000167018,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,4.089,5.276,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
CSWDC Coventry,Meriden,control,coordinates_lat_lon_radius_capped,lat_lon_columns,2534,Leamington Spa Rugby Road - UKA00564,52.29488399961476,-1.5429110003652504,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³;pm10 µg/m³;pm25 µg/m³,13.128,7.760,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
CSWDC Coventry,Meriden,control,coordinates_lat_lon_radius_capped,lat_lon_columns,2535,Leamington Spa,52.28881,-1.533119,169 DEFRA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,13.662,8.497,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
CSWDC Coventry,Meriden,control,coordinates_lat_lon_radius_capped,lat_lon_columns,2659918,Coventry Binley Road - UKA00634,52.407707999735656,-1.4900820001776627,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³,0.719,6.280,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Devonport Dockyard,Saltash,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,2488,Plymouth Centre - UKA00360,50.37166999941141,-4.142360999982793,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,0.250,0.250,67,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
Devonport Dockyard,Saltash,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,2510,Saltash Callington Road,50.411463,-4.227678,169 DEFRA 4 Unknown Governmental Organization,,pm10 µg/m³;pm25 µg/m³,7.739,7.739,47,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Devonport Dockyard,Saltash,facility,coordinates_lat_lon_radius_capped,lat_lon_columns,3528,Plymouth Tavistock Road - UKA00629,50.411057999589424,-4.130288000093709,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³,4.617,4.617,56,plausible_candidate_needs_review,candidate_needs_review,openaq_live_v3_1
Devonport Dockyard,Saltash,control,coordinates_lat_lon_radius_capped,lat_lon_columns,2488,Plymouth Centre - UKA00360,50.37166999941141,-4.142360999982793,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³;o3 µg/m³;pm10 µg/m³;pm25 µg/m³,0.250,7.283,50,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Devonport Dockyard,Saltash,control,coordinates_lat_lon_radius_capped,lat_lon_columns,2510,Saltash Callington Road,50.411463,-4.227678,169 DEFRA 4 Unknown Governmental Organization,,pm10 µg/m³;pm25 µg/m³,7.739,10.966,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
Devonport Dockyard,Saltash,control,coordinates_lat_lon_radius_capped,lat_lon_columns,3528,Plymouth Tavistock Road - UKA00629,50.411057999589424,-4.130288000093709,70 EEA 4 Unknown Governmental Organization,,no2 µg/m³,4.617,11.588,42,manual_review_low_confidence,candidate_needs_review,openaq_live_v3_1
