url,ok,http_status,error_type,error_body,result_count,method,facility,facility_key,query_point_role,query_lat,query_lon
https://api.openaq.org/v3/locations?bbox=-1.64396%2C51.67542%2C-0.91604%2C52.12458&limit=100&iso=GB,True,200,,,6,bbox_25km_lonlat,Ardley ERF,ardley_erf,facility,51.9,-1.28
https://api.openaq.org/v3/locations?bbox=-1.42558%2C51.81017%2C-1.13442%2C51.98983&limit=100&iso=GB,True,200,,,0,bbox_10km_lonlat,Ardley ERF,ardley_erf,facility,51.9,-1.28
https://api.openaq.org/v3/locations?coordinates=51.84701%2C-1.32763&radius=25000&limit=100&iso=GB,True,200,,,5,coordinates_lat_lon_radius_capped,Ardley ERF,ardley_erf,control,51.84701494968608,-1.327628875
https://api.openaq.org/v3/locations?coordinates=51.84701%2C-1.32763&radius=10000&limit=100&iso=GB,True,200,,,0,coordinates_lat_lon_radius_10000,Ardley ERF,ardley_erf,control,51.84701494968608,-1.327628875
https://api.openaq.org/v3/locations?coordinates=-1.32763%2C51.84701&radius=10000&limit=25&iso=GB,True,200,,,0,diagnostic_coordinates_lon_lat,Ardley ERF,ardley_erf,control,51.84701494968608,-1.327628875
https://api.openaq.org/v3/locations?bbox=-1.69116%2C51.62244%2C-0.96410%2C52.07159&limit=100&iso=GB,True,200,,,5,bbox_25km_lonlat,Ardley ERF,ardley_erf,control,51.84701494968608,-1.327628875
https://api.openaq.org/v3/locations?bbox=-1.47304%2C51.75718%2C-1.18222%2C51.93685&limit=100&iso=GB,True,200,,,0,bbox_10km_lonlat,Ardley ERF,ardley_erf,control,51.84701494968608,-1.327628875
https://api.openaq.org/v3/locations?coordinates=51.36000%2C-0.17000&radius=25000&limit=100&iso=GB,True,200,,,100,coordinates_lat_lon_radius_capped,Beddington ERF,beddington_erf,facility,51.36,-0.17
https://api.openaq.org/v3/locations?coordinates=51.36000%2C-0.17000&radius=10000&limit=100&iso=GB,True,200,,,29,coordinates_lat_lon_radius_10000,Beddington ERF,beddington_erf,facility,51.36,-0.17
https://api.openaq.org/v3/locations?coordinates=-0.17000%2C51.36000&radius=10000&limit=25&iso=GB,True,200,,,0,diagnostic_coordinates_lon_lat,Beddington ERF,beddington_erf,facility,51.36,-0.17
https://api.openaq.org/v3/locations?bbox=-0.52966%2C51.13542%2C0.18966%2C51.58458&limit=100&iso=GB,True,200,,,100,bbox_25km_lonlat,Beddington ERF,beddington_erf,facility,51.36,-0.17
https://api.openaq.org/v3/locations?bbox=-0.31386%2C51.27017%2C-0.02614%2C51.44983&limit=100&iso=GB,True,200,,,36,bbox_10km_lonlat,Beddington ERF,beddington_erf,facility,51.36,-0.17
https://api.openaq.org/v3/locations?coordinates=51.31351%2C-0.22462&radius=25000&limit=100&iso=GB,True,200,,,100,coordinates_lat_lon_radius_capped,Beddington ERF,beddington_erf,control,51.31350876,-0.224624622
https://api.openaq.org/v3/locations?coordinates=51.31351%2C-0.22462&radius=10000&limit=100&iso=GB,True,200,,,10,coordinates_lat_lon_radius_10000,Beddington ERF,beddington_erf,control,51.31350876,-0.224624622
https://api.openaq.org/v3/locations?coordinates=-0.22462%2C51.31351&radius=10000&limit=25&iso=GB,True,200,,,0,diagnostic_coordinates_lon_lat,Beddington ERF,beddington_erf,control,51.31350876,-0.224624622
https://api.openaq.org/v3/locations?bbox=-0.58392%2C51.08893%2C0.13467%2C51.53809&limit=100&iso=GB,True,200,,,100,bbox_25km_lonlat,Beddington ERF,beddington_erf,control,51.31350876,-0.224624622
https://api.openaq.org/v3/locations?bbox=-0.36834%2C51.22368%2C-0.08091%2C51.40334&limit=100&iso=GB,True,200,,,13,bbox_10km_lonlat,Beddington ERF,beddington_erf,control,51.31350876,-0.224624622
https://api.openaq.org/v3/locations?coordinates=53.58000%2C-2.43000&radius=25000&limit=100&iso=GB,True,200,,,22,coordinates_lat_lon_radius_capped,Bolton WtE,bolton_wte,facility,53.58,-2.43
https://api.openaq.org/v3/locations?coordinates=53.58000%2C-2.43000&radius=10000&limit=100&iso=GB,True,200,,,1,coordinates_lat_lon_radius_10000,Bolton WtE,bolton_wte,facility,53.58,-2.43
https://api.openaq.org/v3/locations?coordinates=-2.43000%2C53.58000&radius=10000&limit=25&iso=GB,True,200,,,0,diagnostic_coordinates_lon_lat,Bolton WtE,bolton_wte,facility,53.58,-2.43
https://api.openaq.org/v3/locations?bbox=-2.80827%2C53.35542%2C-2.05173%2C53.80458&limit=100&iso=GB,True,200,,,27,bbox_25km_lonlat,Bolton WtE,bolton_wte,facility,53.58,-2.43
https://api.openaq.org/v3/locations?bbox=-2.58131%2C53.49017%2C-2.27869%2C53.66983&limit=100&iso=GB,True,200,,,1,bbox_10km_lonlat,Bolton WtE,bolton_wte,facility,53.58,-2.43
https://api.openaq.org/v3/locations?coordinates=53.53038%2C-2.47474&radius=25000&limit=100&iso=GB,True,200,,,23,coordinates_lat_lon_radius_capped,Bolton WtE,bolton_wte,control,53.5303755682824,-2.474737575
https://api.openaq.org/v3/locations?coordinates=53.53038%2C-2.47474&radius=10000&limit=100&iso=GB,True,200,,,1,coordinates_lat_lon_radius_10000,Bolton WtE,bolton_wte,control,53.5303755682824,-2.474737575
https://api.openaq.org/v3/locations?coordinates=-2.47474%2C53.53038&radius=10000&limit=25&iso=GB,True,200,,,0,diagnostic_coordinates_lon_lat,Bolton WtE,bolton_wte,control,53.5303755682824,-2.474737575
https://api.openaq.org/v3/locations?bbox=-2.85256%2C53.30580%2C-2.09691%2C53.75495&limit=100&iso=GB,True,200,,,25,bbox_25km_lonlat,Bolton WtE,bolton_wte,control,53.5303755682824,-2.474737575
https://api.openaq.org/v3/locations?bbox=-2.62587%2C53.44054%2C-2.32361%2C53.62021&limit=100&iso=GB,True,200,,,3,bbox_10km_lonlat,Bolton WtE,bolton_wte,control,53.5303755682824,-2.474737575
