facility,facility_key,location,facility_lat,facility_lon,control_site,control_lat,control_lon,query_point_role,query_point_lat,query_point_lon,candidate_source,candidate_status,monitoring_site_name,openaq_location_id,monitoring_site_lat,monitoring_site_lon,distance_query_to_monitor_km,pollutants,monitoring_provider_text,distance_score,pollutant_score,official_hint_score,source_score,relevance_score,review_note
Allington Quarry Waste Management Facility,allington_quarry_waste_management_facility,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,control,51.17164159983072,0.4584710510889741,OpenAQ v3 locations,candidate_needs_review,Broomhill Road,223715,51.379382,0.100759,33.952,no;no2;nox,london stationary | Unknown Research Organization | United Kingdom | Europe/London,0,23,0,5,28,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allington Quarry Waste Management Facility,allington_quarry_waste_management_facility,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,control,51.17164159983072,0.4584710510889741,OpenAQ v3 locations,candidate_needs_review,Broomhill Road,223779,51.379382,0.100759,33.952,no;no2;nox,london stationary | Unknown Research Organization | United Kingdom | Europe/London,0,23,0,5,28,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allington Quarry Waste Management Facility,allington_quarry_waste_management_facility,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,Dartford - St Clements 2,225740,51.448823581151,0.279379130223739,28.756,no2;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Dartford | Europe/London,0,22,0,5,27,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allington Quarry Waste Management Facility,allington_quarry_waste_management_facility,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,Dartford Roadside 2 - Town Centre,225746,51.4426702340503,0.216185856662181,30.789,no2;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Dartford | Europe/London,0,22,0,5,27,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allington Quarry Waste Management Facility,allington_quarry_waste_management_facility,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,facility,51.23,0.5,OpenAQ v3 locations,candidate_needs_review,Dartford - Town Centre,4990521,51.442557781389,0.215950164318913,30.79,no2;pm10,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Dartford | Europe/London,0,22,0,5,27,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Allington Quarry Waste Management Facility,allington_quarry_waste_management_facility,Kent,51.23,0.5,Aylesford,51.17164159983072,0.4584710510889741,control,51.17164159983072,0.4584710510889741,OpenAQ v3 locations,candidate_needs_review,Rochester ,5451896,51.372348,0.50601,22.561,pm1;pm25;relativehumidity;temperature;um003,AirGradient | AirGradient | United Kingdom | Europe/London,4,12,0,5,21,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Ardley ERF,ardley_erf,Oxfordshire,51.9,-1.28,Bicester,51.84701494968608,-1.327628875,control,51.84701494968608,-1.327628875,OpenAQ v3 locations,candidate_needs_review,Oxford St Ebbes,2469,51.744806000000004,-1.260278,12.273,no2;o3;pm10;pm25,DEFRA | Unknown Governmental Organization | United Kingdom | Oxford | Europe/London,22,35,15,5,77,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Ardley ERF,ardley_erf,Oxfordshire,51.9,-1.28,Bicester,51.84701494968608,-1.327628875,facility,51.9,-1.28,OpenAQ v3 locations,candidate_needs_review,Oxford St Ebbes,2469,51.744806000000004,-1.260278,17.31,no2;o3;pm10;pm25,DEFRA | Unknown Governmental Organization | United Kingdom | Oxford | Europe/London,13,35,15,5,68,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Ardley ERF,ardley_erf,Oxfordshire,51.9,-1.28,Bicester,51.84701494968608,-1.327628875,control,51.84701494968608,-1.327628875,OpenAQ v3 locations,candidate_needs_review,Oxford Centre Roadside,2318,51.751745,-1.257463,11.641,no2,DEFRA | Unknown Governmental Organization | United Kingdom | Oxford | Europe/London,24,10,15,5,54,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Ardley ERF,ardley_erf,Oxfordshire,51.9,-1.28,Bicester,51.84701494968608,-1.327628875,facility,51.9,-1.28,OpenAQ v3 locations,candidate_needs_review,Oxford Centre Roadside,2318,51.751745,-1.257463,16.558,no2,DEFRA | Unknown Governmental Organization | United Kingdom | Oxford | Europe/London,15,10,15,5,45,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
