facility,facility_key,location,facility_lat,facility_lon,control_site,control_lat,control_lon,query_point_role,query_point_lat,query_point_lon,candidate_source,candidate_status,monitoring_site_name,openaq_location_id,monitoring_site_lat,monitoring_site_lon,distance_query_to_monitor_km,pollutants,monitoring_provider_text,distance_score,pollutant_score,official_hint_score,source_score,relevance_score,review_note
Ardley ERF,ardley_erf,Oxfordshire,51.9,-1.28,Bicester,51.84701494968608,-1.327628875,facility,51.9,-1.28,OpenAQ v3 locations,candidate_needs_review,Oxford St Ebbes,2469,51.744806000000004,-1.260278,17.31,no2;o3;pm10;pm25,DEFRA | Unknown Governmental Organization | United Kingdom | Oxford | Europe/London,13,35,15,5,68,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Ardley ERF,ardley_erf,Oxfordshire,51.9,-1.28,Bicester,51.84701494968608,-1.327628875,control,51.84701494968608,-1.327628875,OpenAQ v3 locations,candidate_needs_review,Oxford Centre Roadside,2318,51.751745,-1.257463,11.641,no2,DEFRA | Unknown Governmental Organization | United Kingdom | Oxford | Europe/London,24,10,15,5,54,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Ardley ERF,ardley_erf,Oxfordshire,51.9,-1.28,Bicester,51.84701494968608,-1.327628875,facility,51.9,-1.28,OpenAQ v3 locations,candidate_needs_review,Oxford Centre Roadside,2318,51.751745,-1.257463,16.558,no2,DEFRA | Unknown Governmental Organization | United Kingdom | Oxford | Europe/London,15,10,15,5,45,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Ardley ERF,ardley_erf,Oxfordshire,51.9,-1.28,Bicester,51.84701494968608,-1.327628875,control,51.84701494968608,-1.327628875,OpenAQ v3 locations,candidate_needs_review,Kingston Bagpuize,2939974,51.68114870934652,-1.416891787834181,19.44,pm1;pm10;pm25;relativehumidity;temperature;um003,AirGradient | Unknown Person | United Kingdom | Europe/London,10,24,0,5,39,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,Robin Hood Health Centre,223803,51.362842,-0.196908,1.895,no;no2;nox;pm25,london stationary | Unknown Research Organization | United Kingdom | Europe/London,41,35,0,5,81,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,Sutton - Beddington Lane north,225832,51.38928690450499,-0.141661524779893,3.805,no2;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Sutton | Europe/London,38,34,0,5,77,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,control,51.31350876,-0.224624622,OpenAQ v3 locations,candidate_needs_review,Robin Hood Health Centre,223803,51.362842,-0.196908,5.814,no;no2;nox;pm25,london stationary | Unknown Research Organization | United Kingdom | Europe/London,34,35,0,5,74,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,facility,51.36,-0.17,OpenAQ v3 locations,candidate_needs_review,Merton - Merton Road,225773,51.4161384794862,-0.192230805042824,6.43,no2;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Merton | Europe/London,33,34,0,5,72,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,control,51.31350876,-0.224624622,OpenAQ v3 locations,candidate_needs_review,Kingston Upon Thames - Tolworth Broadway,225764,51.379312,-0.281259,8.307,no2;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Kingston | Europe/London,30,34,0,5,69,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Beddington ERF,beddington_erf,"Sutton, London",51.36,-0.17,Ewell,51.31350876,-0.224624622,control,51.31350876,-0.224624622,OpenAQ v3 locations,candidate_needs_review,Sutton - Beddington Lane north,225832,51.38928690450499,-0.141661524779893,10.208,no2;pm10;pm25,London Air Quality Network | Unknown Governmental Organization | United Kingdom | Sutton | Europe/London,26,34,0,5,65,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Bolton WtE,bolton_wte,Greater Manchester,53.58,-2.43,Horwich,53.5303755682824,-2.474737575,control,53.5303755682824,-2.474737575,OpenAQ v3 locations,candidate_needs_review,Salford Eccles,718,53.48481,-2.334139,10.589,no2;o3;pm10;pm25,DEFRA | Unknown Governmental Organization | United Kingdom | Manchester | Europe/London,25,35,15,5,80,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Bolton WtE,bolton_wte,Greater Manchester,53.58,-2.43,Horwich,53.5303755682824,-2.474737575,facility,53.58,-2.43,OpenAQ v3 locations,candidate_needs_review,Salford Eccles,718,53.48481,-2.334139,12.336,no2;o3;pm10;pm25,DEFRA | Unknown Governmental Organization | United Kingdom | Manchester | Europe/London,22,35,15,5,77,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Bolton WtE,bolton_wte,Greater Manchester,53.58,-2.43,Horwich,53.5303755682824,-2.474737575,control,53.5303755682824,-2.474737575,OpenAQ v3 locations,candidate_needs_review,Glazebury - UKA00170,2431,53.4600799995706,-2.4720559997084366,7.819,no2;o3;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Glazebury | Europe/London,30,35,0,5,70,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Bolton WtE,bolton_wte,Greater Manchester,53.58,-2.43,Horwich,53.5303755682824,-2.474737575,control,53.5303755682824,-2.474737575,OpenAQ v3 locations,candidate_needs_review,Wigan Centre - UKA00482,2293,53.549139999250514,-2.638138999803485,10.997,no2;o3;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Wigan | Europe/London,25,35,0,5,65,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Bolton WtE,bolton_wte,Greater Manchester,53.58,-2.43,Horwich,53.5303755682824,-2.474737575,facility,53.58,-2.43,OpenAQ v3 locations,candidate_needs_review,Glazebury - UKA00170,2431,53.4600799995706,-2.4720559997084366,13.621,no2;o3;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Glazebury | Europe/London,20,35,0,5,60,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
Bolton WtE,bolton_wte,Greater Manchester,53.58,-2.43,Horwich,53.5303755682824,-2.474737575,facility,53.58,-2.43,OpenAQ v3 locations,candidate_needs_review,Wigan Centre - UKA00482,2293,53.549139999250514,-2.638138999803485,14.167,no2;o3;pm10;pm25,EEA | Unknown Governmental Organization | United Kingdom | Wigan | Europe/London,19,35,0,5,59,"Candidate only; compare against DEFRA/AURN, local context and source provenance before validation."
