facility,facility_key,overlay_status,best_candidate_site,best_candidate_score,best_candidate_class,candidate_rows_available,openaq_location_ids_found,weeks_requested,backfill_readiness,public_note
Allerton Waste Recovery Park,allerton,candidate_overlay_needs_review,Leeds Centre - UKA00222,80,high_confidence_official_candidate,7,2523;1396;2301;6247129,8,live_probe_attempted,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Beddington ERF,beddington,candidate_overlay_needs_review,Sutton - Beddington Lane north,87,high_confidence_official_candidate,8,225832;225845;225773;225850;225764;225792;223803,8,live_probe_attempted,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Bolton WtE,bolton,candidate_overlay_needs_review,Glazebury - UKA00170,85,high_confidence_official_candidate,8,2431;718;2293;2444;2312,8,live_probe_attempted,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
Crossness Sludge Plant,crossness,candidate_overlay_needs_review,Bexley - Slade Green,95,high_confidence_official_candidate,8,157;225796;225705;147;225751;225714;225763,8,live_probe_attempted,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
CSWDC Coventry,coventry,candidate_overlay_needs_review,Coventry Allesley - UKA00592,93,high_confidence_official_candidate,8,2494;2535;2534;2659918;2513,8,live_probe_attempted,"Exploratory AQ26 evidence backfill. Public outputs are redacted and do not make causal, health, legal or regulatory conclusions."
